id,project_code,type,status,description
REQ-AXO-289,AXO,Requirement,current,"## Umbrella REQ for streaming pipeline v2

Direct implementation of the architecture canonicalized in CPT-AXO-053 + CPT-AXO-054. Decided session 17 (2026-05-12) after operator critique of accumulated over-engineering. Approach: replace the legacy DuckDB-era multi-layer ingestion machine (CPT-AXO-026's 16-layer audit) with a 6-stage streaming pipeline using bounded `tokio::sync::mpsc` channels, per-stage worker pools, idempotent PG UPSERT, and zero machine-à-états in the DB.

## Scope — what this REQ ships

### Code (new)
- `src/axon-core/src/pipeline_v2/` module: StageMetrics, worker pool helper, channel topology, A1…B3 stage implementations.
- `IndexedFile(path PK, content_hash, last_seen_ms)` table DDL + arc-swap<DashMap> in-RAM filter.
- Feature flag `AXON_PIPELINE_V2=1` for coexistence during validation.
- Per-stage metrics surface (in-memory) + brain `status` MCP tool integration + dashboard panel.
- Cold-start poll for B1: `SELECT chunk_id FROM Chunk LEFT JOIN ChunkEmbedding ce ON ce.chunk_id=Chunk.id WHERE ce.chunk_id IS NULL LIMIT N`.
- Configurable per-stage worker counts via env vars (`AXON_A1_WORKERS` … `AXON_B3_WORKERS`).
- Bench scripts for v2 (files/s + chunks/s).

### Code (deleted at slice S7+S8 cut-over)
- `spawn_autonomous_ingestor`, `claim_policy`, `plan_admissions`, `fill_admission_plan`, `claim_pending_paths`, `requeue_claimed_paths_with_reason`, `mark_pending_files_deferred`, `mark_file_oversized_for_current_budget` and all callers.
- `spawn_ingress_promoter`, `promote_ingress_batch`, `SharedIngressBuffer`, `bootstrap_salvage_paths`, `should_suppress_bootstrap_event_storm`.
- `spawn_writer_actor`, `DbWriteTask`, `writer_ctx` mutex in `graph.rs:33` (REQ-AXO-283 scope).
- `public.file` table (all 23 columns), `FileVectorizationQueue` (subsumed by B's channel + poll DB).
- `claim_mode`, `admission_target_band`, `exhaustion_ratio`, `oversized_for_current_budget`, `defer_count`, all related gates.
- The orphan reaper `reset_orphaned_indexing_rows` (REQ-AXO-288, no orphans to reap under v2).
- Reaper sidecar `writer-actor.trace`, `vector-lane.trace` if they reference DuckDB-era only state.

### Documentation
- CPT-AXO-053 + CPT-AXO-054 (DONE this session).
- CLAUDE.md (project) point to CPT-AXO-053 as canonical product split.
- Skill axon-engineering-protocol updated with v2 vocabulary.
- Two env config templates (cf. REQ-AXO-290 child).

## Acceptance criteria

AC1. `cargo test --lib --bins` green across all stage workers + idempotence tests.
AC2. Bench `./scripts/axon-dev bench-v2 --duration 5m` shows: files/s and chunks/s metrics per pipeline; backpressure_blocks per stage; identification of dominant bottleneck stage.
AC3. v2 throughput on dev DB ≥ legacy throughput on the same hardware for both files/s and chunks/s (`axon_pipeline_a_files_per_sec` and `axon_pipeline_b_chunks_per_sec`). Empirical baseline = sessions 14-16 figures (47.84 ch/s peak under legacy).
AC4. Crash at any stage → restart → watcher redetects diffs → no duplicate Symbol/Chunk/ChunkEmbedding rows (verified by checksum on a 1000-file repro).
AC5. Brain restart does not lose pipeline state; indexer restart does not produce orphan rows in any persisted table (the only persisted state is the graph itself + IndexedFile filter).
AC6. Activating `AXON_RUNTIME_MODE=indexer_graph` alone keeps Pipeline B silent (no GPU workers, no B-stage threads). Activating `AXON_RUNTIME_MODE=indexer_vector` alone runs B against existing graph state.
AC7. After cut-over (slice S7), `public.file` table no longer exists in schema; migration script handles drop cleanly.
AC8. Env config templates ship in repo (REQ-AXO-290).
AC9. `soll_validate` zero violations after this REQ lands.

## Slices (already detailed in CPT-AXO-054 implementation section)

S1. Pipeline-v2 crate scaffolding + StageMetrics.
S2. IndexedFile table + arc-swap cache + watcher integration.
S3. A1→A2→A3 wired + equivalence vs legacy on dev DB.
S4. B1→B2→B3 wired (with cold-start poll).
S5. Per-stage metrics in `status` + dashboard panel.
S6. Bench v2 vs legacy.
S7. Flip default + delete legacy paths.
S8. Drop `public.file` table.
S9. REQ-AXO-290 env config templates.
S10. Doc + skills + session pointer update.

## Branch

`feat/pipeline-v2-streaming` (worktree-based or simple branch — dev work).

## Why P1

LLM operator critique session 17 (2026-05-12) verbatim:
> ""On est en train d'inventer la roue avec nos systèmes d'indexation et on complexifie tellement... à la fin, ça devient tellement complexe qu'il n'y a plus rien qui fonctionne et toi tu n'y comprends rien et moi non plus.""

Empirical evidence supporting urgency:
- Live DB has 12,189 files stuck in `status='indexing'` (86% of 14,150 total) — orphans accumulated across many indexer restarts.
- REQ-AXO-285 (pipeline A broken) is one of three symptoms (REQ-AXO-285/286/288/283) all rooted in the same DuckDB-era multi-layer-state-machine.
- Throughput north-star REQ-AXO-252 AC7 ≥1 50 ch/s gap = ~100 ch/s, primarily because pipeline A and B are coupled in throughput by state-machine contention (DuckDB-era artefact).
- Build complexity prevents productive operator + LLM session work — multi-hour debug just to understand the gate chain.

v2 fixes ALL of these simultaneously by structural simplification.

## Children REQs

- REQ-AXO-290 — environment config templates + obsolete param cleanup (filed concurrently).
- (more REQ children may be filed per-slice as needed; this umbrella scope-anchors them).

## Supersedes

- REQ-AXO-285 (pipeline A broken) — problem eliminated structurally.
- REQ-AXO-286 bug 2 (indexer rise gate) — no rise gate needed; v2 stages are uniform.
- REQ-AXO-288 (orphan reaper) — no orphans to reap.
- REQ-AXO-283 (LatticePool writer_ctx Mutex) — mutex eliminated.
- REQ-AXO-272 (vector worker topology) — generalized to per-stage worker pools.
- Multiple symptoms covered by CPT-AXO-026 16-layer audit — collapsed to 6 stages.

## Tags

`umbrella-migration`, `streaming-pipeline-v2`, `architectural-simplification`, `req-axo-285-superseded`, `req-axo-286-bug2-subsumed`, `req-axo-288-obsolete`, `req-axo-283-eliminated`, `pg-multi-writer`, `idempotent-upsert`, `feature-flag-pipeline-v2`, `functionality_key:throughput-north-star`

## Originator

Operator + Claude Opus 4.7 — session 17 (2026-05-12) architecture critique and design conversation. CPT-AXO-053 + CPT-AXO-054 canonicalize the architecture; this REQ structures the migration."
REQ-AXO-093,AXO,Requirement,delivered,"RESOLVED 2026-05-01 by commit 4107623. Two-layer bash fix: (Layer 1) scripts/stop.sh now unlinks role-specific telemetry/MCP sockets plus per-role pid file plus runtime.env after axonctl stop succeeds; STOP_ROLE=all iterates both roles; legacy non-role-specific paths from axon-instance.sh also removed. (Layer 2) scripts/start.sh:has_live_runtime_dataplane() now uses socket_responds() helper which does an actual AF_UNIX connect with 0.5s timeout via python3, instead of bare -S file test. Orphan sockets reject the connect, so the false-positive Ready signal is gone. Smoke tested: probe matrix 5/5 (nonexistent / regular file / bound-no-listener / live listener / killed listener), cleanup helper removes 8/8 target paths with seeded fake state. Followups - REQ-AXO-101 (axonctl Rust-side socket cleanup), pending integration test for start/stop socket guarantee. Originator: Claude Sonnet 4.7 session 2026-05-01."
REQ-AXO-025,AXO,Requirement,delivered,"COMPLETED — verified 2026-05-02 (Phase E hygiene). TensorRT artifact build + cold qualification delivered via DEC-AXO-060 Phase 4 (REQ-AXO-113, commits b009c49+414268d): `./scripts/axon qualify --profile <p> --cold --tensorrt [--build-tensorrt-from-tarball PATH]` folds the 6 legacy cold-qualify scripts (qualify-dev-cold, qualify-dev-indexer-cold, qualify-dev-indexer-tensorrt-cold, build-and-qualify-tensorrt-cold, reset-dev-baseline, reset-dev-indexer-baseline) into the canonical 4-verb surface."
REQ-AXO-029,AXO,Requirement,delivered,"COMPLETED — verified 2026-05-02. Live promotions occurred 5+ times in this and prior session (latest live: v0.8.0-115-g44eaec4 promoted 2026-05-02 12:13). Promotion pipeline `bash scripts/release/promote_live_safe.sh --project AXO` reliably ships SKILL.md, SOLL state, and tool guidance updates to live each cycle. Per `feedback_always_use_promotion_pipeline` and SKILL.md Release flow contract."
REQ-AXO-031,AXO,Requirement,delivered,"COMPLETED — verified 2026-05-02. TensorRT readiness delivered: `--gpu-backend tensorrt` is the production GPU backend (per MEMORY.md key arch fact, confirmed by user 2026-05-01); --tensorrt flag in qualify (REQ-AXO-025); embedder/gpu_backend.rs + provider_runtime.rs handle TensorRT EP via subprocess IPC; VRAM coordinator (REQ-AXO-049 closed) governs hard-cut acceleration safely."
REQ-AXO-035,AXO,Requirement,delivered,"COMPLETED — verified 2026-05-02. embedder/vector_executor.rs exists as the unified boundary across TensorRT, CUDA, and CPU lanes (per `ls src/axon-core/src/embedder/`). Companion: provider_contract.rs + provider_runtime.rs + gpu_backend.rs + cpu_query_service.rs deliver the lane-scoped contract. CPU query embedder (REQ-AXO-128) and TensorRT (REQ-AXO-031) are both production paths through this boundary."
REQ-AXO-102,AXO,Requirement,delivered,"Observed 2026-05-01. The unified './scripts/axon' wrapper exposes start/stop/status/qualify/etc but to bring up only a brain (brain_only) without the indexer I had to call AXON_INSTANCE_KIND=live bash /home/dstadel/projects/axon/scripts/start-brain.sh directly. The skill axon-engineering-protocol says 'use ./scripts/axon --instance live ...' as the canonical form, but there is no equivalent flag to start-brain alone via that entrypoint. Concerns - (a) breaks the 'one entrypoint' contract; (b) operators and LLMs must know about each helper script individually, increasing surface area for misconfiguration. PARTIAL ANALYSIS: maybe brain-only start is supposed to flow through 'axon --instance live start --brain-only' (which does exist in start.sh). Need to verify whether the canonical procedure considers that adequate. Logged per user directive. Originator: Claude Sonnet 4.7 session 2026-05-01."
REQ-AXO-103,AXO,Requirement,delivered,Observed 2026-05-01. Every axon_commit_work invocation auto-writes a SOLL_EXPORT_<timestamp>.md to docs/vision/. The skill notes (Commit Hygiene section) 'archival SOLL_EXPORT_*.md should not pollute routine delivery commits' and indeed these files are not auto-staged. But they DO accumulate on disk. Two found in this session alone (151105 and 154312). Concerns - (a) growing untracked file count; (b) if any process later 'git add -A' they would all enter a commit; (c) no rotation/cleanup story documented. PARTIAL ANALYSIS: not sure whether there is an intended retention period or cleanup script. Logged per user directive. Originator: Claude Sonnet 4.7 session 2026-05-01.
DEC-AXO-038,AXO,Decision,current,"Memgraph prepared queries are installed as first-class Lab catalog nodes for human-only IST/SOLL visualization. Complement recorded 2026-04-29: the Memgraph import drops lookup indexes before replacing graph data, then recreates indexes for AxonNode id, project_code, path, title, name, symbol, kind, status, common IST/SOLL labels, and PreparedQuery name/rank. The loader retries transient Memgraph storage.access_timeout failures during index operations. Full query-pack execution smoke passed for 27 queries after index installation, loader hardening, and query-shape cleanup. LLM clients remain routed to Axon MCP, not Memgraph."
REQ-AXO-041,AXO,Requirement,delivered,COMPLETED — verified 2026-05-02. Prepared query pack delivered via commit e92e560 (Memgraph prepared query catalog) AND the Lab importable collection via commit f6326e1 (REQ-AXO-056 closure). Operators access the prepared IST/SOLL graph queries via queries/memgraph/bootstrap/axon_lab_install_collection.html and axon_lab_query_collection.json without manual reconstruction.
REQ-AXO-043,AXO,Requirement,delivered,"COMPLETED — verified 2026-05-02. The structured-recovery contract is delivered across the public surface (cited 5+ times in SKILL.md): `data.status` ∈ ok|input_invalid|wrong_project_scope|input_not_found|input_ambiguous|degraded; `data.next_action`; `data.operator_guidance.{problem_class,follow_up_tools,llm_contract.{first,bad_args,partial,ask_user_only_if}}`; `data.missing_field`; `data.registered_project_codes`; `data.unknown_global_rule_ids`; `data.diagnostic_excerpt`; `data.artifact_diagnostics`. Standardized via shared helper wrong_project_scope_response (used by 9 public tools). REQ-AXO-125 (writer error normalization) extends the same contract. Already cited as closed in SKILL.md."
REQ-AXO-109,AXO,Requirement,delivered,"RESOLVED 2026-05-01. Added axon_clear_inherited_env() to scripts/lib/axon-instance.sh. The function unsets every AXON_*/HYDRA_* env var inherited from the parent shell except a documented allowlist of user-input vars (instance kind, project scope, role/mode selectors, GPU/embedding overrides, resource-policy knobs, release manifest, networking overrides, benchmark flags, HYDRA_GRPC_PORT). scripts/start.sh, scripts/stop.sh, and scripts/status.sh call it at entry, immediately after sourcing axon-instance.sh and before any lib re-derives instance state, so dev tuning vars (AXON_VECTOR_WORKERS, AXON_DB_ROOT, AXON_TELEMETRY_SOCK, etc.) leaked from a previous start cannot bleed into the next instance's runtime or BEAM dashboard. Verified by scripts/test_axon_env_cleanup.sh: cycle 1 asserts derived vars unset + allowlist preserved + non-AXON env untouched, cycle 2 asserts idempotency on already-clean env, cycle 3 asserts re-export+re-clear pattern works repeatedly. End-to-end /proc/<beam_pid>/environ comparison verification deferred until next time the runtime is restarted (the contract is now in place; the runtime restart will apply it). Originator: Claude Opus 4.7 session 2026-05-01."
REQ-AXO-045,AXO,Requirement,delivered,"COMPLETED — verified 2026-05-02. soll_apply_plan exists and is the canonical batch-mutation tool: dry_run gates, logical_key idempotence, async job_id + job_status polling, rollback via soll_rollback_revision. Used 3 times this session (REQ-AXO-130 plan, REQ-AXO-131 plan, REQ-AXO-135/136 plan). soll_commit_revision provides atomic checkpointing per preview_id. SKILL.md SOLL writes section documents the full contract."
REQ-AXO-047,AXO,Requirement,delivered,LLM help is a compact routing brain. CONFIRMED COMPLETED 2026-05-02 hygiene pass Phase 2: mcp__axon__help returns Axon identity + tool routing matrix + cold-start sequence. help(tool=X) returns input contract + compact examples + recommended next action (REQ-AXO-061 already-completed satisfies the schema half). help(intent=X) returns minimal machine-actionable protocol for the named intent. The help surface encodes the routing in-server per CPT-AXO-018 LLM-contract hygiene.
REQ-AXO-050,AXO,Requirement,delivered,"COMPLETED — verified 2026-05-02 (Phase E hygiene REQ-AXO-070). The 'capture tech debt findings in SOL' protocol is delivered as canonical concepts: CPT-AXO-019 (documente extended scope), CPT-AXO-020 (operational loop step 1 = observe + log), CPT-AXO-024 (PDCA-with-SOLL hard rule, set 2026-05-02 by Didier), CPT-AXO-025 (3-way Axon-issue triage including commercial value-add branch). Five session memory feedbacks reinforce: feedback_documente_means_soll, feedback_axon_mcp_universal_protocol, feedback_pdca_with_soll, feedback_verify_before_logging_contract_bug, feedback_no_premature_stop_with_open_unblockers. The methodology IS the implementation; this REQ was the seed."
REQ-AXO-113,AXO,Requirement,delivered,"Migration phase 4 of DEC-AXO-060 — fold cold/reset scripts into qualify --cold. RESOLVED 2026-05-01 by commits b009c49 (deletions) + 414268d (replacement wiring). Six legacy scripts deleted (qualify-dev-cold.sh, qualify-dev-indexer-cold.sh, qualify-dev-indexer-tensorrt-cold.sh, build-and-qualify-tensorrt-cold.sh, reset-dev-baseline.sh, reset-dev-indexer-baseline.sh — 558 lines removed). Replaced by three flags on scripts/qualify_runtime.py - --cold, --tensorrt, --build-tensorrt-from-tarball - plus VRAM envelope flags (--max-vram-used-mb, --gpu-admission-vram-used-mb, --tensorrt-workspace-mb, --manifest). Baseline-type detection - indexer-only when --tensorrt or --mode in indexer_full|indexer_vector|indexer_graph; split otherwise. Callers updated - setup-tensorrt.sh, benchmark-vector-token-matrix.sh (cold path AND warm path - warm path now sources scripts/lib/dev-baseline.sh directly because the wait_for_warm_vector_window step is bench-specific), scripts/lib/axon-ort-runtime.sh hint, scripts/axon dispatcher help, docs/skills/axon-engineering-protocol/SKILL.md mapping section. Smoke tested - python3 -c py_compile passes, bash -n passes on all touched scripts, --help reachable, branch-logic matrix 5/5 (cold+live rejects, defaults, brain_only -> split, indexer_full -> indexer-only, tensorrt forces indexer-only). Migration mapping documented in SKILL.md. Originator - REQ chain for DEC-AXO-060."
REQ-AXO-051,AXO,Requirement,delivered,"COMPLETED — verified 2026-05-02. Parent-first SIGTERM tree reap delivered: axonctl::stop_tree implements parent-first SIGTERM ordering; integration test stop_tree_parent_first_prevents_respawn at src/axon-core/src/bin/axonctl.rs:1567 spawns real bash parent + child, sends SIGTERM via production stop_tree, asserts (a) parent SIGTERM first, (b) child SIGTERM after, (c) no respawn marker created. Test #[ignore] (real-process spawn). REQ-AXO-069 closure documents the test. axonctl auto-restart subcommand (REQ-AXO-097, commit b67f5fe) extends supervision with PidReused/Dead/Absent detection."
REQ-AXO-054,AXO,Requirement,delivered,COMPLETED 2026-05-02 (Phase A hygiene REQ-AXO-131). Verified empirically: `scripts/analyze_vector_benchmark.py` exists in working tree with 4 references to Polars (grep -c polars). Provides offline temporal analysis from samples.ndjson / summary.json / benchmark.sqlite3 inputs. Script being committed as part of this REQ closure.
REQ-AXO-064,AXO,Requirement,delivered,"COMPLETED — verified 2026-05-02. mcp__axon__help() returns 'Axon — Structural Intelligence MCP Server' (English). MCP tool descriptions visible in the LLM tool catalog are uniformly English (sample: 'Initializes a new Axon project. The server assigns the canonical `project_code`...', 'Mandatory dry-run validation before commit', 'Inspect symbol detail: source, callers, callees, stats', etc.). The English-first migration is delivered. The French legacy text persists only in some doc/comments; the LLM-visible MCP surface is English."
REQ-AXO-053,AXO,Requirement,delivered,"COMPLETED 2026-05-02 (Phase A hygiene REQ-AXO-131). Verified empirically: `git check-ignore -v src/axon-core/src/bin/{axon-brain,axon-indexer,generate_soll_docs}.rs` returns no ignore rule. `.gitignore` line 35 = `/bin/` (anchored to repo root, not `src/**/bin/`). Rust source bin files are reviewable in git per the requirement. The 3 untracked bin sources will be committed as part of this REQ closure."
REQ-AXO-060,AXO,Requirement,delivered,LLM cold-start onboarding in 3 MCP calls or fewer. CONFIRMED COMPLETED 2026-05-02 hygiene pass: REQ-AXO-119 kickoff bundle (commit shipped 2026-05-01) makes axon_init_project return entry_points + active_handoff + methodology_summary in one call. The 3-call sequence axon_init_project + help + status is sufficient for productive onboarding. Verified by every Axon-init session this 2026-05-02 batch.
REQ-AXO-062,AXO,Requirement,delivered,"COMPLETED — verified 2026-05-02. REQ-AXO-089 closed: shared helper `auto_resolve_project_code_str` lives in `tools_framework_runtime_status.rs`; auto-resolves project from `AXON_PROJECT_ROOT` env then `current_dir` against `soll.ProjectCodeRegistry`. When exactly one registered project's path matches/is-prefix of cwd, response scope becomes `project:<code>`. Helper used by retrieve_context, query, inspect (REQ-AXO-089). REQ-AXO-119 also surfaces auto-detection via `axon_init_project` data.kickoff_bundle. Cold-start friction (3 wasted calls to discover code) eliminated."
REQ-AXO-114,AXO,Requirement,delivered,"Migration phase 5 of DEC-AXO-060. Scope - rewrite CLAUDE.md, docs/operations/2026-04-18-live-dev-runtime-operations.md, docs/skills/axon-engineering-protocol/SKILL.md to reflect the 4-verb canonical surface. Also updated docs/getting-started.md (out-of-original-scope but trivial 2-line fix) and memory/reference_axon_runtime_lifecycle.md. Status - completed 2026-05-01 by commit 067b1af. Acceptance achieved - all canonical operator-facing docs now describe the 4-verb surface (start, stop, status, qualify) plus axon-live/axon-dev aliases. References to deleted per-instance wrappers (start-live.sh, start-dev.sh, etc) replaced. Phase 3 removals enumerated in skill Qualification section. Out of scope - SOLL_EXPORT_*.md (auto-generated, regenerated on each commit), docs/plans/2026-04-* (historical, intentionally frozen). Originator - REQ chain for DEC-AXO-060."
REQ-AXO-061,AXO,Requirement,delivered,"help(tool=X) returns JSON input schema and usage examples. CONFIRMED COMPLETED 2026-05-02 hygiene pass: live help(tool=X) returns input contract, compact examples, recommended next action. Verified by Axon's deferred-tool ToolSearch flow this session (every tool fetched returns full JSON schema with required/optional fields)."
